Referrer,Source / Medium,Sessions,%New Sessions,New Users,Bounce Rate,Pages/Session,Avg. Session Duration,csdContactFormSubmit (Goal 1 Conversion Rate),csdContactFormSubmit (Goal 1 Completions),csdContactFormSubmit (Goal 1 Starts)
(direct),(direct) / (none),451,81.59645232815964,368,54.1019955654102,2.860310421286031,117.84922394678492,1.1086474501108647,5,5
Trial Promoter Email - IRB-approved Project,Trial Promoter Email - IRB-approved Project / email,2,0.0,0,50.0,2.0,8.0,0.0,0,0
bing,bing / organic,5,80.0,4,40.0,5.2,104.4,0.0,0,0
brucepark.io/,brucepark.io / referral,4,75.0,3,75.0,1.5,38.0,0.0,0,0
facebook,facebook / organic,3,100.0,3,100.0,1.0,0.0,0.0,0,0
facebook,facebook / paid,152,96.05263157894737,146,99.3421052631579,1.013157894736842,0.039473684210526314,0.0,0,0
facebook.com/,facebook.com / referral,9,44.44444444444444,4,44.44444444444444,3.2222222222222223,162.77777777777777,0.0,0,0
facebook.com/l.php,facebook.com / referral,2,100.0,2,100.0,1.0,0.0,0.0,0,0
google,google / organic,144,76.38888888888889,110,54.166666666666664,3.3194444444444446,150.45833333333334,0.0,0,0
google,google / paid,132,81.81818181818183,108,89.39393939393939,1.3257575757575757,45.11363636363637,0.0,0,0
google.ee/imgres,google.ee / referral,1,100.0,1,100.0,1.0,0.0,0.0,0,0
keck.usc.edu/research/research-resources/conduct-a-clinical-trial/,keck.usc.edu / referral,25,84.0,21,32.0,4.68,105.04,0.0,0,0
l.facebook.com/l.php,l.facebook.com / referral,2,100.0,2,50.0,2.0,7.0,0.0,0,0
l.facebook.com/lsr.php,l.facebook.com / referral,9,100.0,9,100.0,1.0,0.0,0.0,0,0
m.facebook.com/,m.facebook.com / referral,10,70.0,7,100.0,1.0,0.0,0.0,0,0
oprs.usc.edu/about/participating/,oprs.usc.edu / referral,26,92.3076923076923,24,23.076923076923077,4.538461538461538,104.8076923076923,3.8461538461538463,1,1
page.report/QualityAssurance/report.aspx,page.report / referral,4,0.0,0,25.0,2.75,86.75,0.0,0,0
pharmaetrack.com/ClinicalProductsView.aspx,pharmaetrack.com / referral,1,100.0,1,100.0,1.0,0.0,0.0,0,0
profiles.sc-ctsi.org/shindigusc/gadgets/ifr,profiles.sc-ctsi.org / referral,57,54.385964912280706,31,68.42105263157895,1.5087719298245614,164.89473684210526,0.0,0,0
research.usc.edu/category/announcement/,research.usc.edu / referral,1,100.0,1,0.0,3.0,115.0,0.0,0,0
research.usc.edu/clinical-trials-at-usc/,research.usc.edu / referral,5,80.0,4,20.0,7.8,247.2,0.0,0,0
research.usc.edu/patients/,research.usc.edu / referral,53,77.35849056603774,41,24.528301886792452,5.150943396226415,196.43396226415095,3.7735849056603774,2,2
sc-ctsi.org/,sc-ctsi.org / referral,50,62.0,31,57.99999999999999,2.3,45.08,0.0,0,0
sc-ctsi.org/funding/awardees,sc-ctsi.org / referral,2,100.0,2,100.0,1.0,0.0,0.0,0,0
sc-ctsi.org/index.php/community/collaborate_with_the_community,sc-ctsi.org / referral,1,100.0,1,100.0,1.0,0.0,0.0,0,0
sc-ctsi.org/index.php/community/services_for_community,sc-ctsi.org / referral,2,50.0,1,50.0,2.0,87.5,0.0,0,0
sc-ctsi.org/index.php/new-resources/conduct_human_studies_and_trials,sc-ctsi.org / referral,1,100.0,1,100.0,1.0,0.0,0.0,0,0
sc-ctsi.org/index.php/new-resources/get_expert_advice,sc-ctsi.org / referral,1,100.0,1,100.0,1.0,0.0,0.0,0,0
sc-ctsi.org/index.php/new-resources/resources_overview,sc-ctsi.org / referral,6,50.0,3,50.0,2.1666666666666665,120.66666666666667,0.0,0,0
sc-ctsi.org/workforce-development/course-search,sc-ctsi.org / referral,2,100.0,2,100.0,1.0,0.0,0.0,0,0
t.co/0k2ZibLptP,t.co / referral,1,100.0,1,100.0,1.0,0.0,0.0,0,0
t.co/TCUItBlQmI,t.co / referral,3,100.0,3,100.0,1.0,0.0,0.0,0,0
t.co/qISpZjNBek,t.co / referral,2,100.0,2,100.0,1.0,0.0,0.0,0,0
tp.sc-ctsi.org/clinical_trials,tp.sc-ctsi.org / referral,4,0.0,0,25.0,10.25,527.25,0.0,0,0
tp.sc-ctsi.org/paid_messages,tp.sc-ctsi.org / referral,3,0.0,0,66.66666666666666,1.3333333333333333,30.0,0.0,0,0
twitter,twitter / organic,33,63.63636363636363,21,81.81818181818183,1.3333333333333333,55.57575757575758,3.0303030303030303,1,1
twitter.com,twitter.com / social,1,0.0,0,0.0,4.0,46.0,0.0,0,0
universityofsoutherncalifornia.cmail19.com/t/ViewEmail/i/FC9F8308751827AF,universityofsoutherncalifornia.cmail19.com / referral,2,100.0,2,100.0,1.0,0.0,0.0,0,0
yahoo,yahoo / organic,4,75.0,3,50.0,1.75,17.5,0.0,0,0
youtube_search_results,youtube_search_results / paid,8,50.0,4,87.5,1.125,103.25,0.0,0,0
