#,Headline,Description Line 1,Description Line 2
1,Diagnosed With Disease?,Learn about clinical trials for,disease. Find a trial nearby!
2,Have Disease?,Learn about ongoing research for,disease. Find a trial nearby!
3,Disease Clinical Trials,Learn about ongoing research for,disease. Find a trial nearby!
4,Affected By Disease? ,Learn about ongoing research for,disease. Find a trial nearby!
5,Keck Medicine of USC,Learn about disease trials &,explore your options with us
6,Disease Research Study,Learn about disease trials &,explore your options with us
7,Find Clinical Trials,Learn about disease trials &,help us work toward a cure
8,Find Clinical Trials,Learn about disease trials &,help us work toward a cure
9,Have Disease?,Studies for people with disease.,Free info and support.
10,Help Disease Patients,Learn about disease trials &,help us work toward a cure
11,We Need Your Help,Learn about disease trials &,help us work toward a cure
12,Disease Patients,Learn about ongoing research for,disease. Find a trial nearby!
13,Volunteers Needed,Clinical studies for people with,disease. More here.
14,Fighting disease?,Learn about ongoing research for,disease. Find a trial nearby!
15,Keck Medicine of USC,Fighting disease?,Learn about ongoing research.
16,Disease Research,Learn more about ongoing,disease clinical trials.
17,Clinical Trials,Clinical studies for disease.,Explore active studies.
18,Keck Disease Study,Disease patient research study,clinical trial seeking participants
19,Keck Disease Study,Learn about ongoing research for,disease. Find a trial nearby!
20,Clinical Trials Available,Find active disease,clinical trials near you.
21,Demystifying Disease,Find active disease,clinical trials near you. 
22,Demystifying Disease,Disease patient research study,clinical trial seeking participants
23,Disease e-Patients,Explore your options with us,clinical trial seeking participants
24,Disease e-Patients,Clinical trial seeking participants,at Keck Medicine of USC.
25,Disease Patients,Clinical trial seeking participants,at Keck Medicine of USC.
26,Disease Trial,Learn more about disease,studies at Keck Medicine of USC.
27,Disease Trial,Clinical trial seeking participants,at Keck Medicine of USC.
28,Disease Trial,Explore your options with us.,Clinical trial seeking participants.
29,Disease Study,Clinical trial seeking participants.,Join researcher at Keck Medicine.
30,Disease Trial,Join researcher at Keck Medicine.,Clinical trial seeking participants.
31,Diagnosed With Disease?,Take part in disease research.,Participate in a clinical trial!
32,Have Disease?,Get involved in research &,participate in a clinical trial!
33,Disease Clinical Trials,Get involved in research.,Find a trial nearby!
34,Affected By Disease? ,Are you the right match?,Participate in a clinical trial!
35,Keck Medicine of USC,Take part in a disease study.,Participate in a clinical trial!
36,Disease Research Study,Make a Difference &,participate in a clinical trial!
37,Find Clinical Trials,Help Other Patients &,participate in a clinical trial!
38,Disease Trials,Help Other Patients &,participate in a clinical trial!
39,Participate In Our Trial,You may be eligible.,Participate in a clinical trial!
40,Help Disease Patients,Participate in a clinical trial!,Help us work toward a cure.
41,Clinical Trials at USC,Participate in a clinical trial!,Help us work toward a cure.
42,Disease Patients,Help Other Patients &,participate in a clinical trial!
43,Volunteers Needed,Make a Difference &,participate in a clinical trial!
44,Fighting disease?,Participate in a clinical trial!,Help us work toward a cure.
45,Keck Medicine of USC,Fighting disease?,Participate in a clinical trial!
46,Disease Research,Make a Difference &,participate in a clinical trial!
47,Find Clinical Trials,Take part in disease research.,Participate in a clinical trial!
48,Keck Disease Study,You may be eligible.,Participate in a clinical trial!
49,Keck Disease Study,Make a Difference &,participate in a clinical trial!
50,Clinical Trials Available,Participate in a clinical trial!,You may be eligible.
51,Demystifying Disease,You may be eligible to,participate in a clinical trial.
52,Demystifying Disease,Participate in clinical trial!,Disease patient research study.
53,Disease e-Patients,Explore your options with us.,Participate in clinical trial!
54,Disease e-Patients,Get involved in disease,research at Keck Medicine of USC.
55,Disease Patients,Get involved in research &,participate in clinical trial!
56,USC Disease Trial,Explore your options with us &,participate in clinical trial!
57,Disease Trial,Participate in clinical trial,at Keck Medicine of USC.
58,Disease Research,Explore your options with us &,participate in clinical trial!
59,USC Disease Study,Participate in clinical trial! Join,researchers at Keck Medicine of USC.
60,USC Disease Trial,You may be eligible. Join,researchers at Keck Medicine of USC
