#,Headline,Description Line 1,Description Line 2,Video Content
1,Diagnosed With Disease?,Learn about clinical trials for,disease. Find a clinical trial now!,Clinical trials are crucial to develop better treatments for disease - like this new study at Keck Medicine of USC. Please share this video to help us spread the word. Thank you! Check out this link to access more information.
2,Have Disease?,Learn about ongoing research for,disease. Find a clinical trial now!,"Your help is appreciated. A new clinical trial at Keck Medicine of USC on disease is looking for participants. Through these types of clinical studies researchers can better understand how to diagnose, treat and prevent diseases. Please share this video and help us find study participants. Thanks! Check out the link for more information."
3,Disease Clinical Trials,Learn about ongoing research for,disease. Find a trial nearby!,Did you know that most clinical trials fail because they cannot enroll enough participants? This hampers the development of new treatments. Please help us spread the word about this clinical trial on disease at Keck Medicine of USC. We?re looking for participants. Thank you! Check out this link to access more information.
4,Affected by Disease?,Learn about ongoing research for,disease. Find clinical trials now!,Know someone affected by disease? We need your help to find participants for a research study at Keck Medicine of USC. Please share this video to help us spread the word. Thank you! Check out this link to access more information.
5,Keck Medicine of USC,Learn about disease trials &,explore your options with us.,"Your help is appreciated: A new clinical trial at Keck Medicine of USC on disease is looking for participants. Through these types of clinical studies researchers can better understand how to diagnose, treat and prevent diseases. Please share this video. Thanks! And check out this link to access more information."
6,Disease Research Study,Learn about disease trials &,explore your options with us.,Please help us work toward a cure for disease by sharing this video and new clinical trial at Keck Medicine of USC. Thank you! Check out this link to access more information.
7,Find Clinical Trials,Learn about disease trials &,help us work toward a cure.,Clinical studies are not possible without volunteers. Help us fight disease by sharing this video and information about this clinical study at Keck Medicine of USC. Thank you! Check out this link to access more information.
8,New Clinical Study,Learn about disease trials &,help us work toward a cure.,Clinical trials are crucial to develop better treatments for disease - like this new study at Keck Medicine of USC. But without volunteers clinical studies are not possible. Please share this video to help us spread the word. Thank you! Check out this link to access more information.
9,Have Disease?,Studies for people with disease.,Free info and support.,This clinical research study at Keck Medicine of USC for disease is now accepting participants. You may already know that clinical trials are crucial to develop new and better treatments for diseases but most clinical trials face an enduring lack of volunteers. Please share this video. Thank you! Check out this link to access more information.
10,Help Disease Patients,Learn about disease trials &,help us work toward a cure.,Want to help others with disease? Share this video and link to this research study at Keck Medicine of USC. Without volunteers clinical studies and better treatments are nearly impossible. Thank you!
11,We Need Your Help,Learn about disease trials &,help us work toward a cure.,Patients may hold the key to fighting disease. We?re looking for participants at Keck Medicine of USC for this clinical study. Please share this video to help us reach more people. Thank you! Check out this link to access more information.
12,Disease Patients,Learn about ongoing research for,disease. Find a trial near you!,Patients that are active online are 60% more likely than the general population to participate in a clinical trial. Thank you! Researchers at Keck Medicine of USC are looking for volunteers for this disease clinical study. Please share this video to help us spread the word. Thank you! Check out this link to access more information.
13,Volunteers Needed,Clinical studies for people with,disease. More here.,Without volunteers clinical studies are not possible. Know someone who might be interested in participating in this disease research study at Keck Medicine of USC? Please share this video to help us spread the word. Thank you! Check out this link to access more information.
14,Fighting Disease?,Learn about ongoing research for,disease. Find a clinical trial!,We want to unlock disease and are looking for research participants to take part in this clinical trial at Keck Medicine of USC. Please share this video to help us reach more people. Thank you! Check out this link to access more information.
15,Keck Medicine of USC,Fighting disease?,Learn about ongoing research.,"Many people agree that clinical trials are worth the time because the results are reliable, but without volunteers clinical studies are not possible. Please share this video about a new disease clinical trial at Keck Medicine of USC. Thank you! Check out this link to access more information."
16,Disease Research,Learn more about the latest,ongoing disease clinical trials.,Looking for clinical trials on disease? Here is a new clinical study that is happening at Keck Medicine of USC. Please share this video to help us spread the word. Thank you! Check out this link to access more information.
17,Clinical Trials,Clinical studies for disease.,Explore active studies.,Clinical trials are crucial to develop better treatments for disease - like this new study at Keck Medicine of USC. Please share this video to help us reach more people. Thank you! Check out this link to access more information.
18,Keck Disease Study,Disease patient research study,Clinical trial seeking participants,Clinical trials give hope to many patients and families. Help us find study participants for this disease study at Keck Medicine of USC. Please share this video to help us spread the word. Thank you! Check out this link to access more information.
19,New Disease Study,Learn about clinical trials for,disease. Find a trial near you!,We do research for better health. Clinical trials are crucial to develop better treatments for disease - like this new study at Keck Medicine of USC. Please share this video to help us find study participants. Thank you! Check out this link to access more information.
