"Campaign Name",Ends,"Campaign ID",Impressions,"Link Clicks","Post Shares","Post Comments","Post Engagement","Post Reactions",Starts,"Reporting Starts","Reporting Ends","Amount Spent (USD)"
"Post: ""Hydrogen cyanide is found in rat poison. It’s...""",2017-07-19,6076520279839,1491,3,25,10,151,66,2017-07-17,2017-04-19,2017-07-19,8.27
"Post: ""Nicotine is highly addictive. Every day in the US...""",2017-07-19,6076509762239,1108,1,7,1,98,75,2017-07-17,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-19,6076509737239,653,12,,1,78,65,2017-07-17,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-19,6076507105239,1276,6,,,78,72,2017-07-17,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-18,6076475739639,1879,,,1,45,44,2017-07-16,2017-04-19,2017-07-19,8
"Post: ""#Smoking can shorten your life by over 12%. If...""",2017-07-18,6076473364039,934,1,13,3,92,56,2017-07-16,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can shorten your life by 10 years. If...""",2017-07-18,6076471841439,466,,8,,45,32,2017-07-16,2017-04-19,2017-07-19,8.28
"Post: ""Even if we don’t smoke, we could be breathing in...""",2017-07-18,6076465733039,1026,,5,4,73,50,2017-07-16,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-18,6076465628039,574,2,,,57,55,2017-07-16,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-18,6076464092439,1090,6,,1,84,77,2017-07-16,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-17,6076446332839,1049,5,,,19,14,2017-07-15,2017-04-19,2017-07-19,8
"Post: ""There is no safe level of exposure to secondhand...""",2017-07-17,6076441985039,1137,3,10,7,97,52,2017-07-15,2017-04-19,2017-07-19,8.28
"Post: ""You can never buy back time, so keep it...""",2017-07-17,6076437039839,602,,4,1,65,52,2017-07-15,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-17,6076437005439,930,5,,,70,65,2017-07-15,2017-04-19,2017-07-19,8
